ID,Submission (208),Decision
cscw100,Social Networking Site Use by Mothers of Young Children,A
cscw104,Socio-technical Trajectories: A Structural Framework for Analyzing Event Log Data,R
cscw108,Social Media Supporting Political Deliberation Across Multiple Public Spheres: Towards Depolarization,A
cscw110,The Documentscape of Global Software Development,R
cscw128,Inferring the Origin Locations of Tweets with Quantitative Confidence,A
cscw130,Understanding Individualsâ€™ Personal Values from Social Media Word Use,A
cscw131,By Source or By Issue? How Content Aggregation Method Impacts Perceptions of Political Issues,R
cscw142,How Social Cues Regulate Task Coordination and Communication,A
cscw145,Giving is Caring: Understanding Donation Behavior through Email,A
cscw154,"Ubiquitous, Connecting, Interrupting: How Push Notifications Affect our Daily Lives",R
cscw144,Tinkering around healthcare infrastructures. Nursing practices and junction work,R
cscw161,"Aesthetic Capital: What Makes London Look Beautiful, Quiet, and Happy?",A
cscw164,Strategies for Targeted Sharing: A Qualitative Study and Supporting Tool,R
cscw178,"â€œItâ€™s in your spinal cord, itâ€™s in your fingertipsâ€ù: Practices of tools and craft in building software",A
cscw135,A Partial Replication Approach for Anywhere Anytime Mobile Commenting,A
cscw188,Competing or Aiming to be Average? Normification as a means of engaging digital volunteers,A
cscw190,The Effects of Consistency Maintenance Methods on Player Experience and Performance in Networked Games,A
cscw192,Distributed Affect as a Theoretical Framework For Analyzing Text-Based Communication,R
cscw199,Group Dynamics of Software Build Teams,R
cscw204,Making IT â€œPay a Bit Betterâ€ù- Design Challenges for Micro Rural Enterprise,A
cscw147,â€œFigure Out How to Code with the Hands of Othersâ€ù: Recognizing Cultural Blind Spots in Global Software Development,A
cscw209,Supporting Group Interactions in Museum Visiting,A
cscw210,"How Physicians "" Achieve Overview"": A Case-based Study in a Hospital Ward",A
cscw221,"Life Transitions and Online Health Communities:  Reflecting on Adoption, Use, and Disengagement",A
cscw222,Characterizing the Life Cycle of Online News Stories Using Social Media Reactions,A
cscw227,How to See Values in Social Computing: Methods for Studying Values Dimensions,A
cscw233,Monitoring Email to Indicate Project Team Performance and Mutual Attraction,A
cscw239,Exhaustive and Efficient Search of Puzzles in Operational Transformation,A
cscw240,"Craving, Creating, and Constructing Comfort: Insights and Opportunities for Technology in Hospice",A
cscw243,Digital Mobilization in Disaster Response: The Work & Self-Organization of On-Line Pet Advocates in Response to Hurricane Sandy,A
cscw244,Towards a Questionnaire for Measuring Affective Benefits and Costs of Communication Technologies,A
cscw105,Voyant: Generating Structured Feedback on Visual Designs Using a Crowd of Non-Experts,A
cscw234,"Achieving Convergence in Operational Transformation: Conditions, Mechanisms and Systems",A
cscw246,Twitter as a Navigator for Stranded Commuters during the Great East Japan Earthquake,R
cscw274,Enhancing Community Awareness and Participation to  Local Heritage with an Mobile Application,A
cscw268,MyPosition: The Impact of an Interactive Poll Visualization on Public Civic Participation,CA
cscw284,Sketching Awareness: A Participatory Study to Elicit Designs for Supporting Emergency Medical Teamwork,R
cscw285,"Network Neighborhoods, Romantic Relationships, and the Dispersion of Social Ties",A
cscw293,Standing on the Schemas of Giants: Socially Augmented Information Foraging,A
cscw295,Cancer Navigation: Opportunities and Challenges for Facilitating the Breast Cancer Journey,A
cscw297,A Case Study of Organizing for Geographically Distributed Work Using Social Media,R
cscw298,Streaming on Twitch: Shared Experiences of Play Catalyze Intimate Communities,R
cscw302,Books as a Social Technology,A
cscw211,Articulation Spaces: Bridging the Gap between Formal and Informal Coordination,A
